DIVERGENCIAS SIENGE X BANCO - CONTAS
Gerado em: 2026-05-07T20:48:41.617593+00:00

Resumo:
  banco.financeiro.json=51088 | Sienge pagar aberto=61 | Sienge pagar baixado=51039
  banco.receber.json=1488 | Sienge receber aberto=1488 | Sienge receber baixado=0

Distribuicao por ano:
  banco.financeiro: 1999=1, 2000=16, 2001=1, 2002=2, 2008=1, 2010=1, 2017=1, 2019=851, 2020=6304, 2021=5100, 2022=9468, 2023=9892, 2024=6654, 2025=9540, 2026=3252, 2027=4
  Sienge pagar: 2019=851, 2020=6308, 2021=5103, 2022=9479, 2023=9896, 2024=6654, 2025=9546, 2026=3263
  banco.receber: 2019=44, 2020=191, 2021=196, 2022=233, 2023=229, 2024=221, 2025=219, 2026=155
  Sienge receber: 2019=44, 2020=191, 2021=196, 2022=233, 2023=229, 2024=221, 2025=219, 2026=155

Status no banco/cache:
  financeiro.json: PENDENTE=51088
  receber.json: PENDENTE=1488

Observacao: a chave de comparacao abaixo usa DOCUMENTO + VENCIMENTO + VALOR, porque o txt local antigo nao guarda o ID real do titulo do Sienge.

No banco, mas nao encontrado no Sienge atual - pagar: 51087
  923713507715;2024-01-01;;6;;CFA R CRUZ NEGOCIO IMOBI;828.40;Pendente
  97774162580286;2024-03-11;;6;;BOL R.CRUZ;464.00;Pendente
  57893469774884;2024-06-25;;6;;BOL 770000019-3;24889.97;Pendente
  100052867166238;2024-07-19;;6;;BOL 10000001-8;27550.00;Pendente
  7463918492137;2024-08-05;;6;;CO 20240582509102;3084.68;Pendente
  230586677269002;2024-08-28;;6;;PPC 12725;255.00;Pendente
  176784613241003;2024-08-28;;6;;PPC 12726;340.00;Pendente
  192956877859286;2024-08-28;;6;;REC 12725;255.00;Pendente
  175167236999698;2024-08-29;;6;;BOL 93435;28054.11;Pendente
  158888362627792;2024-08-29;;6;;CXS 1330311;135.66;Pendente
  143416047942551;2024-08-29;;6;;NFE 25815;340.00;Pendente
  116900725470925;2024-08-29;;6;;NFE 93436;33436.65;Pendente
  264440393884023;2024-08-29;;6;;PPC 12729;47.60;Pendente
  86390191384338;2024-08-29;;6;;PPC 12813;28054.11;Pendente
  273800684864579;2024-08-29;;6;;REC 14703128;20.00;Pendente
  23464313682828;2024-08-30;;6;;PCT 123;8500.00;Pendente
  233976848184950;2024-08-30;;6;;PCT 123;8500.00;Pendente
  52802871367952;2024-09-01;;6;;FAT 12850;14724.70;Pendente
  8011423893591;2024-09-01;;6;;FAT 12854;2499.00;Pendente
  172285534245568;2024-09-01;;6;;REC 35923173024;149.97;Pendente
  70400553155273;2024-09-03;;6;;RECS 2ª QUINZENA AGOSTO;295.96;Pendente
  199104538583087;2024-09-18;;6;;REC 85985882111;289.00;Pendente
  77202285577386;2024-09-18;;6;;RECS 1ª QUINZENA SETEMBRO;1957.86;Pendente
  94128619434843;2024-09-19;;6;;PPC 12814;33436.65;Pendente
  129872558102719;2024-09-24;;6;;BOL RESERVA HOTEL;1548.22;Pendente
  190968616772547;2024-09-25;;6;;FAT 12841;8387.91;Pendente
  49512783483296;2024-09-25;;6;;PPC 12841;16775.82;Pendente
  16052413938583;2024-09-26;;6;;CPF 421218;68.85;Pendente
  158946797817073;2024-09-26;;6;;NFE 125033;122.90;Pendente
  134825525524159;2024-09-26;;6;;NFE 1684;223.78;Pendente
  129223163109984;2024-09-26;;6;;NFE 24119;3735.20;Pendente
  157820658135499;2024-09-26;;6;;PPC 12846;559.45;Pendente
  11336280891951;2024-09-26;;6;;PPC 12847;122.90;Pendente
  99859737847360;2024-09-26;;6;;PPC 12848;3735.20;Pendente
  168258828757092;2024-09-26;;6;;PPC 12850;14724.70;Pendente
  4272893460949;2024-09-27;;6;;CO VA CASA COR OUTUBRO;1380.00;Pendente
  168131226085733;2024-09-27;;6;;CO VT CASA COR BANGALÔ;621.00;Pendente
  36097802386571;2024-09-28;;6;;NFE 1541595;14724.70;Pendente
  12004305185769;2024-09-30;;6;;CO VA RAIMUNDO MA;460.00;Pendente
  7398001472190;2024-09-30;;6;;CO VR CASA COR OUT 2024;880.00;Pendente
  265380331658266;2024-09-30;;6;;CO VT RAIMUNDO MA;207.00;Pendente
  75426053447003;2024-09-30;;6;;CPF 103613;115.30;Pendente
  246237116382236;2024-09-30;;6;;NFE 24190;2499.00;Pendente
  206353951642022;2024-09-30;;6;;PPC 12854;2499.00;Pendente
  219383281352936;2024-09-30;;6;;REC 30092024;50.00;Pendente
  98954332889714;2024-09-30;;6;;REC 30092024;80.50;Pendente
  227810617027097;2024-09-30;;6;;REC 300920241;100.00;Pendente
  235741275337165;2024-09-30;;6;;RPF 123;3286.04;Pendente
  203276299453886;2024-09-30;;6;;RPF 123-2;3286.04;Pendente
  135625633536875;2024-10-01;;6;;CO 20240693067229.;5.53;Pendente
  ... mais 51037 registros

No Sienge atual, mas nao encontrado no banco - pagar: 51099
  955-1;2019-11-21;;1;110;00001;900.00;Pendente
  1687-1;2020-01-27;;1;244;0026;480.00;Pendente
  3911-1;2020-06-19;;1;29;84452;105.00;Pendente
  5815-2;2020-09-21;;1;7;2274;2626.90;Pendente
  6663-1;2020-10-11;;1;161;37014263;1003.01;Pendente
  6416-2;2020-11-08;;1;10;2467;166.25;Pendente
  9729-1;2021-06-13;;1;108;3483;69.00;Pendente
  10024-2;2021-07-16;;1;7;3562;15000.00;Pendente
  10178-1;2021-07-25;;1;237;3600;66.39;Pendente
  11340-1;2021-09-09;;1;78;116417;468.72;Pendente
  13832-1;2021-11-11;;1;970;103434;410.00;Pendente
  12991-1;2021-12-10;;1;850;4524;1365.00;Pendente
  14344-1;2022-01-17;;1;1015;491;105.00;Pendente
  15194-2;2022-04-14;;3;928;5373;163.50;Pendente
  17889-1;2022-06-04;;1;50;9866;733.33;Pendente
  17863-1;2022-06-06;;1;213;1527;58.07;Pendente
  17191-1;2022-06-10;;3;572;6152;720.00;Pendente
  19684-1;2022-08-18;;1;70;252;198.45;Pendente
  19980-1;2022-08-25;;1;1160;21822;2200.00;Pendente
  21369-1;2022-09-29;;1;626;424041;0.01;Pendente
  22209-1;2022-10-14;;1;1304;7640;12556.00;Pendente
  21369-2;2022-10-29;;1;626;424041;6105.42;Pendente
